Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Finland,1.305,1.592,0.681,0.202,7.632,0.874,1,0.393,2018
Norway,1.456,1.582,0.686,0.286,7.594,0.861,2,0.34,2018
Denmark,1.351,1.59,0.683,0.284,7.555,0.868,3,0.408,2018
Iceland,1.343,1.644,0.677,0.353,7.495,0.914,4,0.138,2018
Switzerland,1.42,1.549,0.66,0.256,7.487,0.927,5,0.357,2018
Netherlands,1.361,1.488,0.638,0.333,7.441,0.878,6,0.295,2018
Canada,1.33,1.532,0.653,0.321,7.328,0.896,7,0.291,2018
New Zealand,1.268,1.601,0.669,0.365,7.324,0.876,8,0.389,2018
Sweden,1.355,1.501,0.659,0.285,7.314,0.913,9,0.383,2018
Australia,1.34,1.573,0.647,0.361,7.272,0.91,10,0.302,2018
United Kingdom,1.244,1.433,0.464,0.262,7.19,0.888,11,0.082,2018
Austria,1.341,1.504,0.617,0.242,7.139,0.891,12,0.224,2018
Costa Rica,1.01,1.459,0.632,0.143,7.072,0.817,13,0.101,2018
Ireland,1.448,1.583,0.614,0.307,6.977,0.876,14,0.306,2018
Germany,1.34,1.474,0.586,0.273,6.965,0.861,15,0.28,2018
Belgium,1.324,1.483,0.583,0.188,6.927,0.894,16,0.24,2018
Luxembourg,1.576,1.52,0.632,0.196,6.91,0.896,17,0.321,2018
United States,1.398,1.471,0.547,0.291,6.886,0.819,18,0.133,2018
Israel,1.301,1.559,0.533,0.354,6.814,0.883,19,0.272,2018
United Arab Emirates,2.096,0.776,0.284,0.186,6.774,0.67,20,,2018
Czech Republic,1.233,1.489,0.543,0.064,6.711,0.854,21,0.034,2018
Malta,1.27,1.525,0.645,0.376,6.627,0.884,22,0.142,2018
France,1.293,1.466,0.52,0.098,6.489,0.908,23,0.176,2018
Mexico,1.038,1.252,0.479,0.069,6.488,0.761,24,0.095,2018
Chile,1.131,1.331,0.431,0.197,6.476,0.808,25,0.061,2018
Taiwan,1.365,1.436,0.418,0.151,6.441,0.857,26,0.078,2018
Panama,1.112,1.438,0.597,0.125,6.43,0.759,27,0.063,2018
Brazil,0.986,1.474,0.493,0.11,6.419,0.675,28,0.088,2018
Argentina,1.073,1.468,0.57,0.062,6.388,0.744,29,0.054,2018
Guatemala,0.781,1.268,0.604,0.179,6.382,0.608,30,0.071,2018
Uruguay,1.093,1.459,0.625,0.13,6.379,0.771,31,0.155,2018
Qatar,1.649,1.303,0.654,0.256,6.374,0.748,32,0.171,2018
Saudi Arabia,1.379,1.331,0.509,0.098,6.371,0.633,33,0.127,2018
Singapore,1.529,1.451,0.631,0.261,6.343,1.008,34,0.457,2018
Malaysia,1.161,1.258,0.356,0.311,6.322,0.669,35,0.059,2018
Spain,1.251,1.538,0.449,0.142,6.31,0.965,36,0.074,2018
Colombia,0.96,1.439,0.531,0.099,6.26,0.635,37,0.039,2018
Trinidad & Tobago,1.223,1.492,0.575,0.171,6.192,0.564,38,0.019,2018
Slovakia,1.21,1.537,0.354,0.118,6.173,0.776,39,0.014,2018
El Salvador,0.806,1.231,0.461,0.065,6.167,0.639,40,0.082,2018
Nicaragua,0.668,1.319,0.527,0.208,6.141,0.7,41,0.128,2018
Poland,1.176,1.448,0.546,0.108,6.123,0.781,42,0.064,2018
Bahrain,1.338,1.366,0.594,0.243,6.105,0.698,43,0.123,2018
